50,497,0.09,745,37250,0.100603622
50,14769,1.893,14563,728150,0.00338547
50,29538,9.516,29127,1456350,0.001692735
50,9953,0.16,1341,67050,0.005023611
50,993,10.936,38247,1912350,0.050352467
100,499,0.133,513,51300,0.200400802
100,14913,2.92,12220,1222000,0.006705559
100,29825,6.014,24440,2444000,0.003352892
100,9953,161.924,534200,53420000,0.010047222
100,997,25.784,60433,6043300,0.100300903
250,499,0.066,128,32000,0.501002004
250,14913,4.655,8160,2040000,0.016763897
250,29825,9.424,16321,4080250,0.00838223
250,9977,0.098,191,47750,0.025057633
250,997,0.008,14,3500,0.250752257
500,500,0.968,809,404500,1
500,14983,11.067,9040,4520000,0.033371154
500,29965,22.836,18081,9040500,0.016686134
500,9977,0.455,399,199500,0.050115265
500,1000,426.978,257381,128690500,0.5
750,500,0.055,30,22500,1.5
750,14983,18.445,9842,7381500,0.050056731
750,29965,36.993,19640,14730000,0.025029201
750,9994,0.396,225,168750,0.075045027
750,1000,1165.261,453271,339953250,0.75
1000,500,1.799,700,700000,2
1000,14983,33.248,12729,12729000,0.066742308
1000,29965,65.99,25458,25458000,0.033372268
1000,9994,0.408,167,167000,0.100060036
1000,1000,2107.004,610102,610102000,1
1500,500,2.3,596,894000,3
1500,14983,40.632,10167,15250500,0.100113462
1500,29965,80.32,20334,30501000,0.050058401
1500,9994,0.366,97,145500,0.150090054
1500,1000,5128.994,970002,1455003000,1.5
2500,500,3.583,548,1370000,5
2500,14993,0.368,55,137500,0.166744481
2500,29989,3.008,465,1162500,0.0833639
2500,9984,0.141,22,55000,0.250400641
3500,500,7.79,835,2922500,7
3500,14995,0.059,5,17500,0.233411137
3500,29989,7.631,836,2926000,0.11670946
5000,500,11.094,819,4095000,10
5000,14995,5.532,398,1990000,0.333444481
5000,29989,11.061,796,3980000,0.1667278
5000,29997,12.843,950,4750000,0.166683335
5000,99977,40.7,3007,15035000,0.050011503
1,903658,3.205,924697,924697,1.10661E-06
1,56,0,54,54,0.017857143
1,744211,2.538,744211,744211,1.3437E-06
100,2,0.054,198,19800,50
100,2,0.001,2,200,50
50,4,0.016,117,5850,12.5
60,198,1.117,5777,346620,0.303030303
1,489,0.002,489,489,0.00204499
120,150,14.393,36000,4320000,0.8
500,567,545.924,285201,142600500,0.881834215
