50,497,0.001,497,24850,0.100603622
50,14769,0.287,14563,728150,0.00338547
50,29538,0.315,29127,1456350,0.001692735
50,9953,0.006,1341,67050,0.005023611
100,499,0.001,513,51300,0.200400802
100,14913,0.049,12220,1222000,0.006705559
100,29825,0.048,24440,2444000,0.003352892
250,499,0.007,128,32000,0.501002004
250,14913,0.005,8160,2040000,0.016763897
250,29825,0.029,16321,4080250,0.00838223
250,9977,0.004,191,47750,0.025057633
250,997,0.004,14,3500,0.250752257
500,500,0.003,809,404500,1
500,14983,0.012,9040,4520000,0.033371154
500,29965,0.064,18081,9040500,0.016686134
500,9977,0.077,399,199500,0.050115265
750,500,0.007,30,22500,1.5
750,14983,0.015,9842,7381500,0.050056731
750,29965,0.025,19684,14763000,0.025029201
750,9994,0.104,225,168750,0.075045027
1000,500,0.012,700,700000,2
1000,14983,0.122,12729,12729000,0.066742308
1000,29965,0.167,25458,25458000,0.033372268
1000,9994,0.141,167,167000,0.100060036
1500,500,0.014,596,894000,3
1500,14983,0.221,10167,15250500,0.100113462
1500,29965,0.134,20334,30501000,0.050058401
1500,9994,0.108,97,145500,0.150090054
2500,500,0.016,548,1370000,5
2500,14993,0.085,55,137500,0.166744481
2500,29989,0.103,465,1162500,0.0833639
2500,9984,0.246,22,55000,0.250400641
3500,500,0.08,835,2922500,7
3500,14995,0.039,5,17500,0.233411137
3500,29989,0.361,836,2926000,0.11670946
5000,500,0.095,819,4095000,10
5000,14995,0.054,398,1990000,0.333444481
5000,29989,0.29,796,3980000,0.1667278
5000,29997,0.031,950,4750000,0.166683335
5000,99977,5.817,3007,15035000,0.050011503
1,903658,0.001,924697,924697,1.11E-06
1,56,0.001,54,54,0.017857143
1,744211,0.001,144211,144211,1.34E-06
100,2,0.001,2,200,50
1,489,0.001,489,489,0.00204499
